,States,Years,Quarter,Districts,Registered_users,Appopens
0,Andaman & Nicobar,2018,1,north and middle andaman district,632,0
1,Andaman & Nicobar,2018,1,south andaman district,5846,0
2,Andaman & Nicobar,2018,1,nicobars district,262,0
3,Andaman & Nicobar,2018,2,north and middle andaman district,911,0
4,Andaman & Nicobar,2018,2,south andaman district,8143,0
5,Andaman & Nicobar,2018,2,nicobars district,351,0
6,Andaman & Nicobar,2018,3,north and middle andaman district,1208,0
7,Andaman & Nicobar,2018,3,south andaman district,10474,0
8,Andaman & Nicobar,2018,3,nicobars district,467,0
9,Andaman & Nicobar,2018,4,north and middle andaman district,1553,0
10,Andaman & Nicobar,2018,4,south andaman district,13133,0
11,Andaman & Nicobar,2018,4,nicobars district,536,0
12,Andaman & Nicobar,2019,1,north and middle andaman district,2013,0
13,Andaman & Nicobar,2019,1,south andaman district,15961,0
14,Andaman & Nicobar,2019,1,nicobars district,622,0
15,Andaman & Nicobar,2019,2,north and middle andaman district,2417,6118
16,Andaman & Nicobar,2019,2,south andaman district,18621,43569
17,Andaman & Nicobar,2019,2,nicobars district,693,2953
18,Andaman & Nicobar,2019,3,north and middle andaman district,2662,22064
19,Andaman & Nicobar,2019,3,south andaman district,20518,138190
20,Andaman & Nicobar,2019,3,nicobars district,751,10853
21,Andaman & Nicobar,2019,4,north and middle andaman district,2955,26253
22,Andaman & Nicobar,2019,4,south andaman district,22202,139646
23,Andaman & Nicobar,2019,4,nicobars district,803,11113
24,Andaman & Nicobar,2020,1,north and middle andaman district,3315,30444
25,Andaman & Nicobar,2020,1,south andaman district,24174,151529
26,Andaman & Nicobar,2020,1,nicobars district,879,11613
27,Andaman & Nicobar,2020,2,north and middle andaman district,4100,56992
28,Andaman & Nicobar,2020,2,south andaman district,27626,231071
29,Andaman & Nicobar,2020,2,nicobars district,984,17009
30,Andaman & Nicobar,2020,3,north and middle andaman district,5355,76553
31,Andaman & Nicobar,2020,3,south andaman district,34833,417785
32,Andaman & Nicobar,2020,3,nicobars district,1147,21227
33,Andaman & Nicobar,2020,4,north and middle andaman district,7076,125915
34,Andaman & Nicobar,2020,4,south andaman district,43908,725321
35,Andaman & Nicobar,2020,4,nicobars district,1412,35972
36,Andaman & Nicobar,2021,1,north and middle andaman district,7833,121680
37,Andaman & Nicobar,2021,1,south andaman district,48352,837589
38,Andaman & Nicobar,2021,1,nicobars district,1573,45067
39,Andaman & Nicobar,2021,2,north and middle andaman district,8493,596182
40,Andaman & Nicobar,2021,2,south andaman district,51903,1270226
41,Andaman & Nicobar,2021,2,nicobars district,1699,381815
42,Andaman & Nicobar,2021,3,north and middle andaman district,9263,759314
43,Andaman & Nicobar,2021,3,south andaman district,55873,1771107
44,Andaman & Nicobar,2021,3,nicobars district,1846,591204
45,Andaman & Nicobar,2021,4,north and middle andaman district,10002,171921
46,Andaman & Nicobar,2021,4,south andaman district,59807,1863037
47,Andaman & Nicobar,2021,4,nicobars district,1971,77952
48,Andaman & Nicobar,2022,1,north and middle andaman district,10720,904869
49,Andaman & Nicobar,2022,1,south andaman district,63487,2368756
50,Andaman & Nicobar,2022,1,nicobars district,2081,573782
51,Andaman & Nicobar,2022,2,north and middle andaman district,11379,963824
52,Andaman & Nicobar,2022,2,south andaman district,66959,3404740
53,Andaman & Nicobar,2022,2,nicobars district,2192,811449
54,Andaman & Nicobar,2022,3,north and middle andaman district,11897,1176567
55,Andaman & Nicobar,2022,3,south andaman district,70445,3607286
56,Andaman & Nicobar,2022,3,nicobars district,2300,1284501
57,Andaman & Nicobar,2022,4,north and middle andaman district,12361,313502
58,Andaman & Nicobar,2022,4,south andaman district,73692,3881359
59,Andaman & Nicobar,2022,4,nicobars district,2389,159232
60,Andaman & Nicobar,2023,1,north and middle andaman district,12941,3103047
61,Andaman & Nicobar,2023,1,south andaman district,77052,5450795
62,Andaman & Nicobar,2023,1,nicobars district,2491,2458822
63,Andaman & Nicobar,2023,2,north and middle andaman district,13600,3174229
64,Andaman & Nicobar,2023,2,south andaman district,80112,6884657
65,Andaman & Nicobar,2023,2,nicobars district,2617,4679790
66,Andaman & Nicobar,2023,3,north and middle andaman district,14216,7130284
67,Andaman & Nicobar,2023,3,south andaman district,83305,5950899
68,Andaman & Nicobar,2023,3,nicobars district,2734,7463896
69,Andaman & Nicobar,2023,4,north and middle andaman district,14813,1869462
70,Andaman & Nicobar,2023,4,south andaman district,86348,7452861
71,Andaman & Nicobar,2023,4,nicobars district,2817,523637
72,Andaman & Nicobar,2024,1,north and middle andaman district,15539,9022450
73,Andaman & Nicobar,2024,1,south andaman district,89907,12147903
74,Andaman & Nicobar,2024,1,nicobars district,2965,7368398
75,Andhra Pradesh,2018,1,east godavari district,350356,0
76,Andhra Pradesh,2018,1,srikakulam district,143839,0
77,Andhra Pradesh,2018,1,visakhapatnam district,497187,0
78,Andhra Pradesh,2018,1,prakasam district,189949,0
79,Andhra Pradesh,2018,1,anantapur district,241192,0
80,Andhra Pradesh,2018,1,kurnool district,240133,0
81,Andhra Pradesh,2018,1,guntur district,317065,0
82,Andhra Pradesh,2018,1,krishna district,323673,0
83,Andhra Pradesh,2018,1,spsr nellore district,194475,0
84,Andhra Pradesh,2018,1,vizianagaram district,128905,0
85,Andhra Pradesh,2018,1,ysr district,186800,0
86,Andhra Pradesh,2018,1,west godavari district,213335,0
87,Andhra Pradesh,2018,1,chittoor district,309541,0
88,Andhra Pradesh,2018,2,east godavari district,454398,0
89,Andhra Pradesh,2018,2,srikakulam district,186913,0
90,Andhra Pradesh,2018,2,visakhapatnam district,636052,0
91,Andhra Pradesh,2018,2,prakasam district,253458,0
92,Andhra Pradesh,2018,2,anantapur district,326383,0
93,Andhra Pradesh,2018,2,kurnool district,319313,0
94,Andhra Pradesh,2018,2,guntur district,420326,0
95,Andhra Pradesh,2018,2,krishna district,431965,0
96,Andhra Pradesh,2018,2,spsr nellore district,261049,0
97,Andhra Pradesh,2018,2,vizianagaram district,167327,0
98,Andhra Pradesh,2018,2,ysr district,248657,0
99,Andhra Pradesh,2018,2,west godavari district,282393,0
100,Andhra Pradesh,2018,2,chittoor district,414306,0
101,Andhra Pradesh,2018,3,east godavari district,558982,0
102,Andhra Pradesh,2018,3,srikakulam district,228456,0
103,Andhra Pradesh,2018,3,visakhapatnam district,769096,0
104,Andhra Pradesh,2018,3,prakasam district,314899,0
105,Andhra Pradesh,2018,3,anantapur district,405855,0
106,Andhra Pradesh,2018,3,kurnool district,394311,0
107,Andhra Pradesh,2018,3,guntur district,518931,0
108,Andhra Pradesh,2018,3,krishna district,537086,0
109,Andhra Pradesh,2018,3,spsr nellore district,322446,0
110,Andhra Pradesh,2018,3,vizianagaram district,203655,0
111,Andhra Pradesh,2018,3,ysr district,308391,0
112,Andhra Pradesh,2018,3,west godavari district,349782,0
113,Andhra Pradesh,2018,3,chittoor district,515727,0
114,Andhra Pradesh,2018,4,east godavari district,694455,0
115,Andhra Pradesh,2018,4,srikakulam district,284874,0
116,Andhra Pradesh,2018,4,visakhapatnam district,978288,0
117,Andhra Pradesh,2018,4,prakasam district,394962,0
118,Andhra Pradesh,2018,4,anantapur district,510892,0
119,Andhra Pradesh,2018,4,kurnool district,498582,0
120,Andhra Pradesh,2018,4,guntur district,659552,0
121,Andhra Pradesh,2018,4,krishna district,682479,0
122,Andhra Pradesh,2018,4,spsr nellore district,407495,0
123,Andhra Pradesh,2018,4,vizianagaram district,257824,0
124,Andhra Pradesh,2018,4,ysr district,387058,0
125,Andhra Pradesh,2018,4,west godavari district,435668,0
126,Andhra Pradesh,2018,4,chittoor district,665280,0
127,Andhra Pradesh,2019,1,east godavari district,839277,0
128,Andhra Pradesh,2019,1,srikakulam district,345775,0
129,Andhra Pradesh,2019,1,visakhapatnam district,1174517,0
130,Andhra Pradesh,2019,1,prakasam district,474260,0
131,Andhra Pradesh,2019,1,anantapur district,612162,0
132,Andhra Pradesh,2019,1,kurnool district,599422,0
133,Andhra Pradesh,2019,1,guntur district,802394,0
134,Andhra Pradesh,2019,1,krishna district,833694,0
135,Andhra Pradesh,2019,1,spsr nellore district,491908,0
136,Andhra Pradesh,2019,1,vizianagaram district,313334,0
137,Andhra Pradesh,2019,1,ysr district,460590,0
138,Andhra Pradesh,2019,1,west godavari district,523372,0
139,Andhra Pradesh,2019,1,chittoor district,812314,0
140,Andhra Pradesh,2019,2,east godavari district,945181,7156762
141,Andhra Pradesh,2019,2,srikakulam district,392764,3230330
142,Andhra Pradesh,2019,2,visakhapatnam district,1318740,13681907
143,Andhra Pradesh,2019,2,prakasam district,539462,4488365
144,Andhra Pradesh,2019,2,anantapur district,695114,6056591
145,Andhra Pradesh,2019,2,kurnool district,680118,6240480
146,Andhra Pradesh,2019,2,guntur district,915256,7268875
147,Andhra Pradesh,2019,2,krishna district,952300,7822632
148,Andhra Pradesh,2019,2,spsr nellore district,558303,4774473
149,Andhra Pradesh,2019,2,vizianagaram district,355058,3541678
150,Andhra Pradesh,2019,2,ysr district,519031,4345848
151,Andhra Pradesh,2019,2,west godavari district,592185,3853094
152,Andhra Pradesh,2019,2,chittoor district,925491,8914216
153,Andhra Pradesh,2019,3,east godavari district,1057167,28275322
154,Andhra Pradesh,2019,3,srikakulam district,437939,11813195
155,Andhra Pradesh,2019,3,visakhapatnam district,1460464,54836001
156,Andhra Pradesh,2019,3,prakasam district,598568,16267041
157,Andhra Pradesh,2019,3,anantapur district,773656,22845084
158,Andhra Pradesh,2019,3,kurnool district,755024,22827473
159,Andhra Pradesh,2019,3,guntur district,1026418,28477132
160,Andhra Pradesh,2019,3,krishna district,1066546,30077671
161,Andhra Pradesh,2019,3,spsr nellore district,619592,17768733
162,Andhra Pradesh,2019,3,vizianagaram district,394375,13065845
163,Andhra Pradesh,2019,3,ysr district,574109,15833900
164,Andhra Pradesh,2019,3,west godavari district,662102,14227407
165,Andhra Pradesh,2019,3,chittoor district,1032733,34638738
166,Andhra Pradesh,2019,4,east godavari district,1195228,38299189
167,Andhra Pradesh,2019,4,srikakulam district,496266,16353822
168,Andhra Pradesh,2019,4,visakhapatnam district,1620235,70749983
169,Andhra Pradesh,2019,4,prakasam district,673522,21639748
170,Andhra Pradesh,2019,4,anantapur district,873033,30278539
171,Andhra Pradesh,2019,4,kurnool district,846885,29676997
172,Andhra Pradesh,2019,4,guntur district,1158708,37846179
173,Andhra Pradesh,2019,4,krishna district,1199971,39407473
174,Andhra Pradesh,2019,4,spsr nellore district,697154,23608360
175,Andhra Pradesh,2019,4,vizianagaram district,443810,17515311
176,Andhra Pradesh,2019,4,ysr district,646642,21543798
177,Andhra Pradesh,2019,4,west godavari district,750078,19393528
178,Andhra Pradesh,2019,4,chittoor district,1156351,44888591
179,Andhra Pradesh,2020,1,east godavari district,1329664,46142746
180,Andhra Pradesh,2020,1,srikakulam district,552007,20975989
181,Andhra Pradesh,2020,1,visakhapatnam district,1763581,77558624
182,Andhra Pradesh,2020,1,prakasam district,748655,26870693
183,Andhra Pradesh,2020,1,anantapur district,971850,36900103
184,Andhra Pradesh,2020,1,kurnool district,936293,34198350
185,Andhra Pradesh,2020,1,guntur district,1289678,45282758
186,Andhra Pradesh,2020,1,krishna district,1331602,46079408
187,Andhra Pradesh,2020,1,spsr nellore district,775440,28879364
188,Andhra Pradesh,2020,1,vizianagaram district,490683,21562104
189,Andhra Pradesh,2020,1,ysr district,717865,26166193
190,Andhra Pradesh,2020,1,west godavari district,843835,24542868
191,Andhra Pradesh,2020,1,chittoor district,1270907,51354573
192,Andhra Pradesh,2020,2,east godavari district,1459116,45884498
193,Andhra Pradesh,2020,2,srikakulam district,608002,23808009
194,Andhra Pradesh,2020,2,visakhapatnam district,1904719,69684456
195,Andhra Pradesh,2020,2,prakasam district,830709,32255276
196,Andhra Pradesh,2020,2,anantapur district,1076953,39704703
197,Andhra Pradesh,2020,2,kurnool district,1035093,36268390
198,Andhra Pradesh,2020,2,guntur district,1426271,44267596
199,Andhra Pradesh,2020,2,krishna district,1459041,41234166
200,Andhra Pradesh,2020,2,spsr nellore district,854459,30816403
201,Andhra Pradesh,2020,2,vizianagaram district,537798,24370380
202,Andhra Pradesh,2020,2,ysr district,796769,29644037
203,Andhra Pradesh,2020,2,west godavari district,944829,26583613
204,Andhra Pradesh,2020,2,chittoor district,1385916,49820171
205,Andhra Pradesh,2020,3,east godavari district,1601940,64292857
206,Andhra Pradesh,2020,3,srikakulam district,667858,31794753
207,Andhra Pradesh,2020,3,visakhapatnam district,2058346,102589371
208,Andhra Pradesh,2020,3,prakasam district,915240,44970519
209,Andhra Pradesh,2020,3,anantapur district,1186851,55714787
210,Andhra Pradesh,2020,3,kurnool district,1132240,49164718
211,Andhra Pradesh,2020,3,guntur district,1567595,62427501
212,Andhra Pradesh,2020,3,krishna district,1599289,61028114
213,Andhra Pradesh,2020,3,spsr nellore district,937176,43951448
214,Andhra Pradesh,2020,3,vizianagaram district,587784,31199437
215,Andhra Pradesh,2020,3,ysr district,877909,41578067
216,Andhra Pradesh,2020,3,west godavari district,1053674,38126238
217,Andhra Pradesh,2020,3,chittoor district,1506503,69462572
218,Andhra Pradesh,2020,4,east godavari district,1746280,82605352
219,Andhra Pradesh,2020,4,srikakulam district,726761,36770992
220,Andhra Pradesh,2020,4,visakhapatnam district,2209658,124730170
221,Andhra Pradesh,2020,4,prakasam district,999462,52839846
222,Andhra Pradesh,2020,4,anantapur district,1295872,69562398
223,Andhra Pradesh,2020,4,kurnool district,1230466,60615045
224,Andhra Pradesh,2020,4,guntur district,1712940,81291172
225,Andhra Pradesh,2020,4,krishna district,1744028,81787771
226,Andhra Pradesh,2020,4,spsr nellore district,1022944,54765443
227,Andhra Pradesh,2020,4,vizianagaram district,634462,35110885
228,Andhra Pradesh,2020,4,ysr district,959182,49596303
229,Andhra Pradesh,2020,4,west godavari district,1163179,51170162
230,Andhra Pradesh,2020,4,chittoor district,1631331,88232999
231,Andhra Pradesh,2021,1,east godavari district,1878769,91478749
232,Andhra Pradesh,2021,1,srikakulam district,782604,40590058
233,Andhra Pradesh,2021,1,visakhapatnam district,2368081,135908324
234,Andhra Pradesh,2021,1,prakasam district,1075936,56911479
235,Andhra Pradesh,2021,1,anantapur district,1394849,73375049
236,Andhra Pradesh,2021,1,kurnool district,1323411,65326230
237,Andhra Pradesh,2021,1,guntur district,1843237,92731167
238,Andhra Pradesh,2021,1,krishna district,1876458,92941553
239,Andhra Pradesh,2021,1,spsr nellore district,1100541,60691988
240,Andhra Pradesh,2021,1,vizianagaram district,681621,37752539
241,Andhra Pradesh,2021,1,ysr district,1032689,53525815
242,Andhra Pradesh,2021,1,west godavari district,1254117,57392671
243,Andhra Pradesh,2021,1,chittoor district,1751420,99083825
244,Andhra Pradesh,2021,2,east godavari district,2006272,84705076
245,Andhra Pradesh,2021,2,srikakulam district,837958,43740255
246,Andhra Pradesh,2021,2,visakhapatnam district,2526830,114313154
247,Andhra Pradesh,2021,2,prakasam district,1151232,76850749
248,Andhra Pradesh,2021,2,anantapur district,1492738,104568606
249,Andhra Pradesh,2021,2,kurnool district,1415585,81894678
250,Andhra Pradesh,2021,2,guntur district,1968681,88248064
251,Andhra Pradesh,2021,2,krishna district,2002662,85771678
252,Andhra Pradesh,2021,2,spsr nellore district,1176334,74049216
253,Andhra Pradesh,2021,2,vizianagaram district,729509,42684475
254,Andhra Pradesh,2021,2,ysr district,1103004,72255265
255,Andhra Pradesh,2021,2,west godavari district,1339377,65118788
256,Andhra Pradesh,2021,2,chittoor district,1870723,110505432
257,Andhra Pradesh,2021,3,east godavari district,2150622,103626560
258,Andhra Pradesh,2021,3,srikakulam district,902008,48622126
259,Andhra Pradesh,2021,3,visakhapatnam district,2707931,139540800
260,Andhra Pradesh,2021,3,prakasam district,1239147,91533813
261,Andhra Pradesh,2021,3,anantapur district,1606735,124985545
262,Andhra Pradesh,2021,3,kurnool district,1522196,101210508
263,Andhra Pradesh,2021,3,guntur district,2110878,106621413
264,Andhra Pradesh,2021,3,krishna district,2145423,104358295
265,Andhra Pradesh,2021,3,spsr nellore district,1263550,90102349
266,Andhra Pradesh,2021,3,vizianagaram district,784444,46277311
267,Andhra Pradesh,2021,3,ysr district,1183377,86369956
268,Andhra Pradesh,2021,3,west godavari district,1436576,80244808
269,Andhra Pradesh,2021,3,chittoor district,2007011,135043395
270,Andhra Pradesh,2021,4,east godavari district,2294347,142536856
271,Andhra Pradesh,2021,4,srikakulam district,965335,61654215
272,Andhra Pradesh,2021,4,visakhapatnam district,2888774,188757640
273,Andhra Pradesh,2021,4,prakasam district,1325728,86410317
274,Andhra Pradesh,2021,4,anantapur district,1719437,120768682
275,Andhra Pradesh,2021,4,kurnool district,1628242,97379271
276,Andhra Pradesh,2021,4,guntur district,2252443,130920743
277,Andhra Pradesh,2021,4,krishna district,2288148,134436469
278,Andhra Pradesh,2021,4,spsr nellore district,1349290,90814672
279,Andhra Pradesh,2021,4,vizianagaram district,839606,56101822
280,Andhra Pradesh,2021,4,ysr district,1262963,83534122
281,Andhra Pradesh,2021,4,west godavari district,1532898,100007280
282,Andhra Pradesh,2021,4,chittoor district,2141818,154395512
283,Andhra Pradesh,2022,1,east godavari district,2432305,87134562
284,Andhra Pradesh,2022,1,srikakulam district,1027283,46691467
285,Andhra Pradesh,2022,1,visakhapatnam district,3061324,88803090
286,Andhra Pradesh,2022,1,prakasam district,1408929,104851997
287,Andhra Pradesh,2022,1,anantapur district,1827094,155792533
288,Andhra Pradesh,2022,1,kurnool district,1729513,119653214
289,Andhra Pradesh,2022,1,guntur district,2387051,88844052
290,Andhra Pradesh,2022,1,krishna district,2423373,85871644
291,Andhra Pradesh,2022,1,spsr nellore district,1431664,101671767
292,Andhra Pradesh,2022,1,vizianagaram district,892889,44804002
293,Andhra Pradesh,2022,1,ysr district,1339782,98878499
294,Andhra Pradesh,2022,1,west godavari district,1626039,87642475
295,Andhra Pradesh,2022,1,chittoor district,2270705,144146671
296,Andhra Pradesh,2022,2,east godavari district,2564165,93383888
297,Andhra Pradesh,2022,2,srikakulam district,1086164,51087942
298,Andhra Pradesh,2022,2,visakhapatnam district,3226029,93552701
299,Andhra Pradesh,2022,2,prakasam district,1487589,108172758
300,Andhra Pradesh,2022,2,anantapur district,1928213,181499094
301,Andhra Pradesh,2022,2,kurnool district,1825280,136447455
302,Andhra Pradesh,2022,2,guntur district,2514794,91997209
303,Andhra Pradesh,2022,2,krishna district,2552107,95341487
304,Andhra Pradesh,2022,2,spsr nellore district,1509927,108755384
305,Andhra Pradesh,2022,2,vizianagaram district,943242,50230853
306,Andhra Pradesh,2022,2,ysr district,1412848,106157470
307,Andhra Pradesh,2022,2,west godavari district,1714357,103338893
308,Andhra Pradesh,2022,2,chittoor district,2392549,158771722
309,Andhra Pradesh,2022,3,east godavari district,2702234,85780890
310,Andhra Pradesh,2022,3,srikakulam district,1147016,46323107
311,Andhra Pradesh,2022,3,visakhapatnam district,3397514,87888969
312,Andhra Pradesh,2022,3,prakasam district,1567520,114185009
313,Andhra Pradesh,2022,3,anantapur district,2030824,181038520
314,Andhra Pradesh,2022,3,kurnool district,1924127,143715547
315,Andhra Pradesh,2022,3,guntur district,2647100,91146114
316,Andhra Pradesh,2022,3,krishna district,2685215,86220959
317,Andhra Pradesh,2022,3,spsr nellore district,1588875,105928407
318,Andhra Pradesh,2022,3,vizianagaram district,995141,46767889
319,Andhra Pradesh,2022,3,ysr district,1487140,107976611
320,Andhra Pradesh,2022,3,west godavari district,1805967,97509407
321,Andhra Pradesh,2022,3,chittoor district,2517657,162524274
322,Andhra Pradesh,2022,4,east godavari district,2835087,173720880
323,Andhra Pradesh,2022,4,srikakulam district,1204785,72666058
324,Andhra Pradesh,2022,4,visakhapatnam district,3566854,208604256
325,Andhra Pradesh,2022,4,prakasam district,1642503,94432083
326,Andhra Pradesh,2022,4,anantapur district,2128066,136685634
327,Andhra Pradesh,2022,4,kurnool district,2018290,105333688
328,Andhra Pradesh,2022,4,guntur district,2774365,144773169
329,Andhra Pradesh,2022,4,krishna district,2813645,156902257
330,Andhra Pradesh,2022,4,spsr nellore district,1663684,103101986
331,Andhra Pradesh,2022,4,vizianagaram district,1044490,64406405
332,Andhra Pradesh,2022,4,ysr district,1556901,93975668
333,Andhra Pradesh,2022,4,west godavari district,1893310,129116752
334,Andhra Pradesh,2022,4,chittoor district,2636036,189655966
335,Andhra Pradesh,2023,1,east godavari district,2965296,98931582
336,Andhra Pradesh,2023,1,srikakulam district,1263204,48743038
337,Andhra Pradesh,2023,1,visakhapatnam district,3732544,107253885
338,Andhra Pradesh,2023,1,prakasam district,1719910,112502189
339,Andhra Pradesh,2023,1,anantapur district,2228505,177793392
340,Andhra Pradesh,2023,1,kurnool district,2114023,149581663
341,Andhra Pradesh,2023,1,guntur district,2900895,103514892
342,Andhra Pradesh,2023,1,krishna district,2941585,98727644
343,Andhra Pradesh,2023,1,spsr nellore district,1740294,111993275
344,Andhra Pradesh,2023,1,vizianagaram district,1094782,55519223
345,Andhra Pradesh,2023,1,ysr district,1628595,109842928
346,Andhra Pradesh,2023,1,west godavari district,1980446,102965151
347,Andhra Pradesh,2023,1,chittoor district,2755784,164669558
348,Andhra Pradesh,2023,2,east godavari district,3082893,101375784
349,Andhra Pradesh,2023,2,srikakulam district,1317771,48040159
350,Andhra Pradesh,2023,2,visakhapatnam district,3877504,115516314
351,Andhra Pradesh,2023,2,prakasam district,1792637,104288559
352,Andhra Pradesh,2023,2,anantapur district,2323796,164437247
353,Andhra Pradesh,2023,2,kurnool district,2202517,142843895
354,Andhra Pradesh,2023,2,guntur district,3014655,97915941
355,Andhra Pradesh,2023,2,krishna district,3054956,99723659
356,Andhra Pradesh,2023,2,spsr nellore district,1811781,113350865
357,Andhra Pradesh,2023,2,vizianagaram district,1141578,55405616
358,Andhra Pradesh,2023,2,ysr district,1694843,98586928
359,Andhra Pradesh,2023,2,west godavari district,2059880,116005083
360,Andhra Pradesh,2023,2,chittoor district,2865250,170462384
361,Andhra Pradesh,2023,3,east godavari district,3211557,83823834
362,Andhra Pradesh,2023,3,srikakulam district,1375950,44064462
363,Andhra Pradesh,2023,3,visakhapatnam district,4035323,116087299
364,Andhra Pradesh,2023,3,prakasam district,1868997,94303883
365,Andhra Pradesh,2023,3,anantapur district,2421293,152875757
366,Andhra Pradesh,2023,3,kurnool district,2295754,124493256
367,Andhra Pradesh,2023,3,guntur district,3137289,71855007
368,Andhra Pradesh,2023,3,krishna district,3177643,73280755
369,Andhra Pradesh,2023,3,spsr nellore district,1887005,73583227
370,Andhra Pradesh,2023,3,vizianagaram district,1190571,41978556
371,Andhra Pradesh,2023,3,ysr district,1764648,78787151
372,Andhra Pradesh,2023,3,west godavari district,2146530,73274852
373,Andhra Pradesh,2023,3,chittoor district,2981337,129032458
374,Andhra Pradesh,2023,4,east godavari district,3329036,143550882
375,Andhra Pradesh,2023,4,srikakulam district,1430226,48122562
376,Andhra Pradesh,2023,4,visakhapatnam district,4180797,163404880
377,Andhra Pradesh,2023,4,prakasam district,1939979,69411660
378,Andhra Pradesh,2023,4,anantapur district,2512744,123617506
379,Andhra Pradesh,2023,4,kurnool district,2383042,86461750
380,Andhra Pradesh,2023,4,guntur district,3251121,132403935
381,Andhra Pradesh,2023,4,krishna district,3291814,121925706
382,Andhra Pradesh,2023,4,spsr nellore district,1956706,78993397
383,Andhra Pradesh,2023,4,vizianagaram district,1236735,42889385
384,Andhra Pradesh,2023,4,ysr district,1829864,69721701
385,Andhra Pradesh,2023,4,west godavari district,2227243,86297777
386,Andhra Pradesh,2023,4,chittoor district,3089391,143201818
387,Andhra Pradesh,2024,1,east godavari district,3465605,70700482
388,Andhra Pradesh,2024,1,srikakulam district,1492803,25384857
389,Andhra Pradesh,2024,1,visakhapatnam district,4349723,183432261
390,Andhra Pradesh,2024,1,prakasam district,2022873,57134465
391,Andhra Pradesh,2024,1,anantapur district,2619335,121235223
392,Andhra Pradesh,2024,1,kurnool district,2484451,115346032
393,Andhra Pradesh,2024,1,guntur district,3382454,82606973
394,Andhra Pradesh,2024,1,krishna district,3423998,59203320
395,Andhra Pradesh,2024,1,spsr nellore district,2037823,73245409
396,Andhra Pradesh,2024,1,vizianagaram district,1289838,45744793
397,Andhra Pradesh,2024,1,ysr district,1905157,75306755
398,Andhra Pradesh,2024,1,west godavari district,2319971,59978637
399,Andhra Pradesh,2024,1,chittoor district,3214678,110865896
400,Arunachal Pradesh,2018,1,lower subansiri district,498,0
401,Arunachal Pradesh,2018,1,tirap district,557,0
402,Arunachal Pradesh,2018,1,papum pare district,7649,0
403,Arunachal Pradesh,2018,1,anjaw district,278,0
404,Arunachal Pradesh,2018,1,lower siang district,270,0
405,Arunachal Pradesh,2018,1,dibang valley district,66,0
406,Arunachal Pradesh,2018,1,west kameng district,2202,0
407,Arunachal Pradesh,2018,1,shi yomi district,49,0
408,Arunachal Pradesh,2018,1,east kameng district,222,0
409,Arunachal Pradesh,2018,1,lohit district,1207,0
410,Arunachal Pradesh,2018,1,lepa rada district,210,0
411,Arunachal Pradesh,2018,1,lower dibang valley district,601,0
412,Arunachal Pradesh,2018,1,longding district,256,0
413,Arunachal Pradesh,2018,1,west siang district,846,0
414,Arunachal Pradesh,2018,1,kamle district,22,0
415,Arunachal Pradesh,2018,1,upper siang district,301,0
416,Arunachal Pradesh,2018,1,kurung kumey district,97,0
417,Arunachal Pradesh,2018,1,siang district,192,0
418,Arunachal Pradesh,2018,1,kra daadi district,88,0
419,Arunachal Pradesh,2018,1,changlang district,1208,0
420,Arunachal Pradesh,2018,1,pakke kessang district,39,0
421,Arunachal Pradesh,2018,1,east siang district,1803,0
422,Arunachal Pradesh,2018,1,upper subansiri district,572,0
423,Arunachal Pradesh,2018,1,tawang district,1525,0
424,Arunachal Pradesh,2018,1,namsai district,737,0
425,Arunachal Pradesh,2018,2,lower subansiri district,724,0
426,Arunachal Pradesh,2018,2,tirap district,856,0
427,Arunachal Pradesh,2018,2,papum pare district,11418,0
428,Arunachal Pradesh,2018,2,anjaw district,410,0
429,Arunachal Pradesh,2018,2,lower siang district,494,0
430,Arunachal Pradesh,2018,2,dibang valley district,112,0
431,Arunachal Pradesh,2018,2,west kameng district,3442,0
432,Arunachal Pradesh,2018,2,shi yomi district,80,0
433,Arunachal Pradesh,2018,2,east kameng district,343,0
434,Arunachal Pradesh,2018,2,lohit district,1898,0
435,Arunachal Pradesh,2018,2,lepa rada district,318,0
436,Arunachal Pradesh,2018,2,lower dibang valley district,893,0
437,Arunachal Pradesh,2018,2,longding district,412,0
438,Arunachal Pradesh,2018,2,west siang district,1224,0
439,Arunachal Pradesh,2018,2,kamle district,37,0
440,Arunachal Pradesh,2018,2,upper siang district,481,0
441,Arunachal Pradesh,2018,2,kurung kumey district,153,0
442,Arunachal Pradesh,2018,2,siang district,293,0
443,Arunachal Pradesh,2018,2,kra daadi district,144,0
444,Arunachal Pradesh,2018,2,changlang district,2014,0
445,Arunachal Pradesh,2018,2,pakke kessang district,66,0
446,Arunachal Pradesh,2018,2,east siang district,2646,0
447,Arunachal Pradesh,2018,2,upper subansiri district,883,0
448,Arunachal Pradesh,2018,2,tawang district,2266,0
449,Arunachal Pradesh,2018,2,namsai district,1276,0
450,Arunachal Pradesh,2018,3,lower subansiri district,1033,0
451,Arunachal Pradesh,2018,3,tirap district,1226,0
452,Arunachal Pradesh,2018,3,papum pare district,16009,0
453,Arunachal Pradesh,2018,3,anjaw district,542,0
454,Arunachal Pradesh,2018,3,lower siang district,717,0
455,Arunachal Pradesh,2018,3,dibang valley district,145,0
456,Arunachal Pradesh,2018,3,west kameng district,4765,0
457,Arunachal Pradesh,2018,3,shi yomi district,118,0
458,Arunachal Pradesh,2018,3,east kameng district,521,0
459,Arunachal Pradesh,2018,3,lohit district,2612,0
